id,domain,name,module,description,status,surface,dependents,loc,tests,weight,owner,marketing_description,notes
"widget.chart","Widget","Chart","Desk canvas / Tools","PlexiDash — bar, line, area, pie or KPI charts from a table. Several on a desk make a dashboard.","active","","","","10",,,,
"widget.doc","Widget","Document","Desk canvas / Files","A Word-class document. Create new, open a .docx, or place an existing one.","active","","","","103",,,,
"widget.sheet","Widget","Spreadsheet","Desk canvas / Files","An Excel-class spreadsheet with formulas. Create new, import .xlsx/.csv, or place an existing one.","active","","","","38",,,,
"widget.slides","Widget","Slides","Desk canvas / Files","A PowerPoint-class deck. Create new, import .pptx, or place an existing one.","active","","","","26",,,,
"widget.map","Widget","Flowchart","Desk canvas / Files","Flowcharts, process maps, org charts and mind maps (PlexiDiagrams) — diagram by hand or generate with AI.","active","","","","15",,,,
"widget.design","Widget","Design","Desk canvas / Files","A PlexiDesign layout — brochures, posters, newsletters and one-pagers. Master pages, threaded text frames, guides and print-ready output.","active","","","","17",,,,
"widget.draw","Widget","Artwork","Desk canvas / Files","A PlexiDraw artwork — vector shapes and bezier paths alongside painted layers, with pathfinder booleans, brushes and blend modes.","active","","","","8",,,,
"widget.streamdeck","Widget","SpeedDeck","Desk canvas / Tools","Elgato-style 10×3 macro pad — launch apps, run macros, control media, organise with folders. Toggle between this-task and Universal scopes.","active","","","","3",,,,
"widget.task-link","Widget","Task link","Desk canvas / Layout","Reference another task on this canvas — drag a task from the sidebar onto the canvas to create one","active","","","","3",,,,
"widget.webview","Widget","Browser","Desk canvas / Web","Any URL — a focused browser tab for this task","active","","","","29",,,,
"widget.pdf","Widget","PDF","Desk canvas / Files","PDF document via URL","legacy (folded into File)","","","","12",,,,
"widget.gdoc","Widget","Doc","Desk canvas / Files","Google Docs","legacy (folded into File)","","","","4",,,,
"widget.gsheet","Widget","Sheet","Desk canvas / Files","Google Sheets","legacy (folded into File)","","","","4",,,,
"widget.gslide","Widget","Slides","Desk canvas / Files","Google Slides","legacy (folded into File)","","","","4",,,,
"widget.chat-thread","Widget","Chat","Desk canvas / Comms","A live chat panel bound to a channel — read and reply without leaving the desk","active","","","","5",,,,
"widget.email","Widget","Email","Desk canvas / Comms","Gmail / Outlook inbox view","legacy (folded into File)","","","","4",,,,
"widget.image","Widget","Image","Desk canvas / Files","Image from URL","legacy (folded into File)","","","","23",,,,
"widget.video","Widget","Video","Desk canvas / Files","Video from URL (mp4 / webm)","legacy (folded into File)","","","","11",,,,
"widget.calculator","Widget","Calc","Desk canvas / Tools","Small inline calculator","active","","","","10",,,,
"widget.color","Widget","Color","Desk canvas / Tools","Color picker + screen eyedropper","active","","","","12",,,,
"widget.timer","Widget","Timer","Desk canvas / Tools","Countdown timer with audio cues — beeps as time runs out","active","","","","14",,,,
"widget.section","Widget","Section","Desk canvas / Layout","A labeled frame to group widgets visually — renders behind everything","active","","","","25",,,,
"widget.minimap","Widget","Minimap","Desk canvas / Layout","Bird's-eye view of the canvas — drag the viewport rect to pan, click anywhere to jump there","legacy (folded into File)","","","","13",,,,
"widget.voice-recorder","Widget","Voice note","Desk canvas / Tools","Record a voice note — AI transcribes (full / cleaned / summary), suggests tasks and widgets, then sends results anywhere on the canvas","active","","","","7",,,,
"widget.mindmap","Widget","Mind map","Desk canvas / Tools","Explore an idea — AI suggests branches, tasks, and the Agent OS agents that can execute on each node","active","","","","18",,,,
"widget.diagram","Widget","Diagram","Desk canvas / Tools","Flowcharts, hierarchies, server/software design, Venn — boxes, circles, text & image nodes joined with connectors","active","","","","11",,,,
"widget.scratchpad","Widget","Scratchpad","Desk canvas / Tools","Freeform sketch surface — draw, annotate and think visually with pressure-sensitive ink","active","","","","4",,,,
"widget.shape","Widget","Shape","Desk canvas / Layout","A vector shape — rectangle, ellipse, diamond, triangle, hexagon, star, line or arrow — with fill, stroke and an optional label","active","","","","15",,,,
"widget.card","Widget","Card","Desk canvas / Notes","A titled callout card with an accent bar, bold title and body","active","","","","12",,,,
"widget.custom-block","Widget","Custom block","Desk canvas / Tools","Design your own form/record — drop typed fields and place them where you want; save as a reusable template","active","","","","4",,,,
"widget.agent","Widget","Desk agent","Desk canvas / Tools","A standing AI agent. Wire widgets INTO it as inputs, give it an instruction and a trigger, and it works on its own","active","","","","27",,,,
"widget.webhook","Widget","Send to a URL","Desk canvas / Tools","An outbound webhook. Wire a tool into it and its content is POSTed to your URL whenever it changes — send desk data out to Slack, Zapier or any HTTP endpoint","active","","","","5",,,,
"widget.inbound-hook","Widget","Receive from a URL","Desk canvas / Tools","An inbound webhook. Gives you a unique URL — when an external system (Stripe, a form, curl) POSTs to it, the payload lands here and fires any wire drawn OUT of this tool","active","","","","4",,,,
"widget.portal","Widget","Portal","Desk canvas / Layout","A live window into another task’s desk — watch it at a glance and click to dive in","active","","","","6",,,,
"widget.living-doc","Widget","Living Doc","Desk canvas / Notes","A doc that writes itself — give it a brief and it keeps a living summary of this desk","active","","","","9",,,,
"ipc.fileManager","Capability","fileManager","Main process","30 operations: importFolder, list, get, path, createFolder, rename, move, moveToOrg…","active","30","","","3",,,,
"ipc.workspace","Capability","workspace","Main process","27 operations: exportJson, importJson, ask, askStream, related, pending, advanceBaseRev, markPushed…","active","27","","","12",,,,
"ipc.ai","Capability","ai","Main process","24 operations: dailyBrief, suggestPageContent, routeCommand, suggestDocContent, rewriteSelection, suggestSheetColumns, suggestFormula, fillSheetRange…","active","24","","","15",,,,
"ipc.workItems","Capability","workItems","Main process","23 operations: list, get, create, updateFields, setState, reclassify, snooze, markRead…","active","23","","","6",,,,
"ipc.meetings","Capability","meetings","Main process","19 operations: list, get, create, saveSegments, saveAudioTakes, audioInfo, loadAudioTakes, keepAudio…","active","19","","","2",,,,
"ipc.documents","Capability","documents","Main process","18 operations: generateSlides, list, get, create, update, delete, listTrashed, restore…","active","18","","","17",,,,
"ipc.settings","Capability","settings","Main process","18 operations: encryptionAvailable, hintAnthropic, hintOpenAI, saveAnthropicKey, saveOpenAIKey, clearAnthropicKey, clearOpenAIKey, hintTenor…","active","18","","","2",,,,
"ipc.extcal","Capability","extcal","Main process","16 operations: list, addInternal, setDefaultInternal, pushNow, listEvents, add, update, remove…","active","16","","","0",,,,
"ipc.mail","Capability","mail","Main process","16 operations: getAccount, saveAccount, testAccount, clearAccount, list, get, archive, listCategories…","active","16","","","47",,,,
"ipc.nodes","Capability","nodes","Main process","15 operations: staleDesks, list, get, create, update, listTrash, restoreTree, delete…","active","15","","","41",,,,
"ipc.files","Capability","files","Main process","13 operations: ingestPath, ingestBuffer, get, ingestUrl, internaliseDeskImages, delete, extractText, read…","active","13","","","17",,,,
"ipc.projects","Capability","projects","Main process","13 operations: list, plan, setTaskPlan, addDep, setDep, removeDep, reschedule, captureBaseline…","active","13","","","4",,,,
"ipc.agents","Capability","agents","Main process","12 operations: run, designProfile, previewInput, getWorkspaceOverride, setWorkspaceOverride, revealInFinder, create, invoke…","active","12","","","3",,,,
"ipc.vault","Capability","vault","Main process","12 operations: meta, isUnlocked, create, unlock, lock, listEntries, createEntry, updateEntry…","active","12","","","1",,,,
"ipc.shares","Capability","shares","Main process","11 operations: listAll, listForEntity, create, revoke, setScope, delete, inbox, accept…","active","11","","","2",,,,
"ipc.tables","Capability","tables","Main process","11 operations: list, get, create, update, delete, listRows, createRow, updateRow…","active","11","","","8",,,,
"ipc.widgets","Capability","widgets","Main process","10 operations: get, listByTask, listByKind, create, createOptional, update, delete, restore…","active","10","","","40",,,,
"ipc.customWidget","Capability","customWidget","Main process","10 operations: generate, name, list, get, save, delete, rename, markUsed…","active","10","","","0",,,,
"ipc.aiChat","Capability","aiChat","Main process","10 operations: listConversations, getConversation, createConversation, setConversationMode, setConversationWebSearch, appendMessage, setMessageApplied, renameConversation…","active","10","","","4",,,,
"ipc.liveDesk","Capability","liveDesk","Main process","9 operations: get, list, start, publish, queuePublish, uploadAsset, setPaused, stop…","active","9","","","1",,,,
"ipc.sign","Capability","sign","Main process","9 operations: list, get, create, update, delete, send, sign, decline…","active","9","","","10",,,,
"ipc.design","Capability","design","Main process","8 operations: generateImage, export, planLayout, searchPhotos, fetchImage, removeBackground, generateContent, generateVariations","active","8","","","8",,,,
"ipc.mailTags","Capability","mailTags","Main process","8 operations: list, listForNode, create, update, remove, pin, exclude, reorder","active","8","","","1",,,,
"ipc.contacts","Capability","contacts","Main process","8 operations: list, listForNode, create, update, remove, link, unlink, desks","active","8","","","0",,,,
"ipc.knowledge","Capability","knowledge","Main process","8 operations: list, get, search, create, update, delete, reindex, semanticActive","active","8","","","3",,,,
"ipc.connectedApps","Capability","connectedApps","Main process","7 operations: list, create, update, delete, reorder, touch, findByHostname","active","7","","","0",,,,
"ipc.reports","Capability","reports","Main process","7 operations: list, get, create, update, delete, generate, runDue","active","7","","","1",,,,
"ipc.flows","Capability","flows","Main process","7 operations: list, get, create, update, delete, run, runDue","active","7","","","0",,,,
"ipc.streamdeck","Capability","streamdeck","Main process","6 operations: execute, openAccessibilitySettings, checkAccessibility, promptAccessibility, openSettingsApp, revealAppInFinder","active","6","","","1",,,,
"ipc.api","Capability","api","Main process","6 operations: status, setEnabled, setPort, listTokens, createToken, revokeToken","active","6","","","310",,,,
"ipc.signals","Capability","signals","Main process","5 operations: record, list, matchState, markPrompted, outcome","active","5","","","2",,,,
"ipc.decisions","Capability","decisions","Main process","5 operations: create, list, forObject, withRisk, cancel","active","5","","","6",,,,
"ipc.account","Capability","account","Main process","5 operations: load, saveSession, clearSession, setSkipped, setCachedEmail","active","5","","","20",,,,
"ipc.snapshots","Capability","snapshots","Main process","5 operations: create, list, get, restore, branch","active","5","","","1",,,,
"ipc.chat","Capability","chat","Main process","5 operations: send, cancelStream, sendStream, hasApiKey, proactiveWelcome","active","5","","","16",,,,
"ipc.crdt","Capability","crdt","Main process","5 operations: record, unsynced, markSynced, knownIds, eventsForObject","active","5","","","2",,,,
"ipc.localApp","Capability","localApp","Main process","5 operations: pick, describe, launch, isRunning, refreshIcon","active","5","","","0",,,,
"ipc.browserAgent","Capability","browserAgent","Main process","5 operations: start, stop, steer, consent, deliver","active","5","","","0",,,,
"ipc.apps","Capability","apps","Main process","5 operations: list, get, create, update, delete","active","5","","","2",,,,
"ipc.forms","Capability","forms","Main process","5 operations: list, get, create, update, delete","active","5","","","0",,,,
"ipc.activity","Capability","activity","Main process","5 operations: getState, setEnabled, read, logPress, wipe","active","5","","","8",,,,
"ipc.context","Capability","context","Main process","4 operations: related, health, markReviewed, resumeSummary","active","4","","","15",,,,
"ipc.widgetLinks","Capability","widgetLinks","Main process","4 operations: listByTask, create, update, delete","active","4","","","2",,,,
"ipc.memory","Capability","memory","Main process","4 operations: list, remember, forget, extractDocuments","active","4","","","39",,,,
"ipc.office","Capability","office","Main process","4 operations: importDocx, exportDocx, exportPdf, pickImage","active","4","","","10",,,,
"ipc.crash","Capability","crash","Main process","4 operations: report, list, unforwarded, markForwarded","active","4","","","2",,,,
"ipc.timeblocks","Capability","timeblocks","Main process","4 operations: list, create, update, delete","active","4","","","2",,,,
"ipc.backup","Capability","backup","Main process","4 operations: info, export, restore, revealFolder","active","4","","","0",,,,
"ipc.voice","Capability","voice","Main process","4 operations: getProvider, preloadLocal, transcribeLive, setProvider","active","4","","","1",,,,
"ipc.agentBrowser","Capability","agentBrowser","Main process","4 operations: createRun, stopRun, endRun, perform","active","4","","","2",,,,
"ipc.fileImport","Capability","fileImport","Main process","4 operations: pick, run, pickGrid, parseGrid","active","4","","","2",,,,
"ipc.wireRuns","Capability","wireRuns","Main process","3 operations: record, listByWire, listByTask","active","3","","","0",,,,
"ipc.metrics","Capability","metrics","Main process","3 operations: get, webContents, buildBinding","active","3","","","3",,,,
"ipc.templates","Capability","templates","Main process","3 operations: list, createFromTask, delete","active","3","","","0",,,,
"ipc.sheet","Capability","sheet","Main process","3 operations: import, export, runMacro","active","3","","","9",,,,
"ipc.focus","Capability","focus","Main process","3 operations: start, complete, recent","active","3","","","14",,,,
"ipc.clusters","Capability","clusters","Main process","3 operations: list, save, delete","active","3","","","0",,,,
"ipc.trail","Capability","trail","Main process","3 operations: record, recent, summarize","active","3","","","1",,,,
"ipc.dashboard","Capability","dashboard","Main process","3 operations: getLayout, setLayout, resetLayout","active","3","","","2",,,,
"ipc.energy","Capability","energy","Main process","3 operations: log, current, recent","active","3","","","1",,,,
"ipc.mindmap","Capability","mindmap","Main process","3 operations: expand, listAgents, suggestAgents","active","3","","","0",,,,
"ipc.app","Capability","app","Main process","3 operations: setZoomFactor, isPreviewBuild, setBackgroundColor","active","3","","","84",,,,
"ipc.docComments","Capability","docComments","Main process","3 operations: list, add, resolve","active","3","","","0",,,,
"ipc.deskLayout","Capability","deskLayout","Main process","2 operations: load, save","active","2","","","2",,,,
"ipc.speeddeck","Capability","speeddeck","Main process","2 operations: loadUniversal, saveUniversal","active","2","","","0",,,,
"ipc.agent","Capability","agent","Main process","2 operations: step, verify","active","2","","","6",,,,
"ipc.setup","Capability","setup","Main process","2 operations: suggest, buildFromPrompt","active","2","","","3",,,,
"ipc.map","Capability","map","Main process","2 operations: export, import","active","2","","","7",,,,
"ipc.brand","Capability","brand","Main process","2 operations: get, set","active","2","","","3",,,,
"ipc.slides","Capability","slides","Main process","2 operations: export, import","active","2","","","15",,,,
"ipc.history","Capability","history","Main process","2 operations: record, recent","active","2","","","3",,,,
"ipc.model","Capability","model","Main process","2 operations: get, set","active","2","","","13",,,,
"ipc.session","Capability","session","Main process","2 operations: getActiveOrg, setActiveOrg","active","2","","","5",,,,
"ipc.haptics","Capability","haptics","Main process","2 operations: available, fire","active","2","","","0",,,,
"ipc.export","Capability","export","Main process","2 operations: html, pdf","active","2","","","3",,,,
"ipc.brain","Capability","brain","Main process","2 operations: ingestWorkspace, coverage","active","2","","","3",,,,
"ipc.voiceCommand","Capability","voiceCommand","Main process","2 operations: getPrefs, setPrefs","active","2","","","0",,,,
"ipc.browserConsent","Capability","browserConsent","Main process","2 operations: list, revoke","active","2","","","0",,,,
"ipc.media","Capability","media","Main process","2 operations: micStatus, askMic","active","2","","","2",,,,
"ipc.mdext","Capability","mdext","Main process","2 operations: read, write","active","2","","","1",,,,
"ipc.planner","Capability","planner","Main process","1 operation: selectItems","active","1","","","0",,,,
"ipc.notifications","Capability","notifications","Main process","1 operation: post","active","1","","","0",,,,
"ipc.webhooks","Capability","webhooks","Main process","1 operation: send","active","1","","","1",,,,
"ipc.wires","Capability","wires","Main process","1 operation: runTransform","active","1","","","2",,,,
"ipc.assistant","Capability","assistant","Main process","1 operation: standup","active","1","","","2",,,,
"ipc.calendar","Capability","calendar","Main process","1 operation: addMeetingIcs","active","1","","","3",,,,
"ipc.resume","Capability","resume","Main process","1 operation: generate","active","1","","","1",,,,
"ipc.livingPage","Capability","livingPage","Main process","1 operation: regenerate","active","1","","","1",,,,
"ipc.image","Capability","image","Main process","1 operation: generateToFile","active","1","","","2",,,,
"ipc.draw","Capability","draw","Main process","1 operation: export","active","1","","","4",,,,
"ipc.telemetry","Capability","telemetry","Main process","1 operation: collect","active","1","","","1",,,,
"ipc.onboarding","Capability","onboarding","Main process","1 operation: record","active","1","","","1",,,,
"ipc.bodyDouble","Capability","bodyDouble","Main process","1 operation: tick","active","1","","","0",,,,
"ipc.smartStack","Capability","smartStack","Main process","1 operation: propose","active","1","","","0",,,,
"ipc.dashboardWizard","Capability","dashboardWizard","Main process","1 operation: refine","active","1","","","0",,,,
"ipc.update","Capability","update","Main process","1 operation: check","active","1","","","24",,,,
"ipc.search","Capability","search","Main process","1 operation: query","active","1","","","3",,,,
"ipc.people","Capability","people","Main process","1 operation: setDirectory","active","1","","","3",,,,
"ipc.marketplace","Capability","marketplace","Main process","1 operation: apply","active","1","","","0",,,,
"ipc.gif","Capability","gif","Main process","1 operation: search","active","1","","","1",,,,
"store.nodes","State","nodes","Renderer state","A ""desk"" (marketing) / ""project"" (sidebar) is a top-level folder. The","active","","129","342","332",,,,
"store.view","State","view","Renderer state","Current pane view — replaces the assumption that the main area always shows a task canvas.","active","","124","281","389",,,,
"store.widgets","State","widgets","Renderer state","Re-export the Focus-Mode nav helpers so consumers (WidgetFocusMode, the split","active","","121","748","284",,,,
"store.account","State","account","Renderer state","Account store — single source of truth for ""am I signed in, and as who?""","active","","69","251","140",,,,
"store.documents","State","documents","Renderer state","Documents store — the standalone office files (doc / sheet / slides). Holds","active","","48","293","124",,,,
"store.workItems","State","workItems","Renderer state","The work_item store (Attention S3, §4). Work items NEVER pass through","active","","45","107","21",,,,
"store.capabilities","State","capabilities","Renderer state","Capability store — caches the per-tier resolved capability map for","active","","24","304","16",,,,
"store.org","State","org","Renderer state","The active organisation is the tenancy boundary for the whole workspace. The","active","","22","123","132",,,,
"store.messaging","State","messaging","Renderer state","Apply a reaction add/remove to a message in the conversation map, immutably and","active","","21","732","22",,,,
"store.tables","State","tables","Renderer state","Refetch a table's rows whenever any writer changes them (flows and forms run","active","","21","207","71",,,,
"store.actionHistory","State","actionHistory","Renderer state","One unified undo/redo timeline for structural workspace actions — creating,","active","","20","142","3",,,,
"store.focusSession","State","focusSession","Renderer state","Lightweight store for the *currently running* 5-min-Promise / focus session.","active","","19","230","4",,,,
"store.links","State","links","Renderer state","Spatial-link store. Mirrors the widgets store's per-task lifecycle:","active","","19","133","60",,,,
"store.timeBlocks","State","timeBlocks","Renderer state","Calendar time blocks for the currently-viewed range. The view sets the range","active","","18","126","19",,,,
"store.meetings","State","meetings","Renderer state","PlexiMeet store. Thin wrapper over the main-process meetings store via IPC.","active","","16","37","30",,,,
"store.presence","State","presence","Renderer state","Account-level presence (the ""People Map""): who across your org/team is online","active","","16","198","32",,,,
"store.chat","State","chat","Renderer state","Applied proposals are keyed by ""<messageTs>::<proposalId>"" — the same","active","","14","1176","117",,,,
"store.files","State","files","Renderer state","Object-URL cache so we can render the same file in multiple widgets without","active","","14","140","96",,,,
"store.knowledge","State","knowledge","Renderer state","PlexiBrain knowledge base store. Thin wrapper over the main-process store via","active","","14","38","46",,,,
"store.upgradePrompt","State","upgradePrompt","Renderer state","Global ""upgrade to unlock"" prompt. Any gated action (a locked widget","active","","13","29","0",,,,
"store.connectedApps","State","connectedApps","Renderer state","Zustand store","active","","12","92","4",,,,
"store.contextHealth","State","contextHealth","Renderer state","Renderer-side Context Health (plexi-4.0). Reads the live context:* endpoints so","active","","12","119","7",,,,
"store.assistantChrome","State","assistantChrome","Renderer state","Chrome state for the global assistant: whether it is open, which of the","active","","11","148","3",,,,
